,address,effective_rent
65,"10011 Balaye Run Dr, Tampa, FL 33619",1927
66,"1002 Bristol Lakes Rd, Mt Dora, FL 32757",1303
67,"1002 Creekbridge Rd, Brandon, FL 33511",1684
68,"10023 Belle Rive Blvd, Jacksonville, FL 32256",1385
69,"10038 Vista Laguna Dr, Orlando, FL 32825",1919
70,"1005 Champions Ridge Dr, Davenport, FL 33896",1727
71,"1005 Spring Garden Rd, Miami, FL 33136",2651
72,"1008 Laguna Loop, Davenport, FL 33896",1804
73,"1009 Parkview Dr, Lynn Haven, FL 32444",2100
74,"10091 Tuller Loop, Winter Garden, FL 34787",1959
75,"101 Brookhaven Ct N, Palm Coast, FL 32164",2082
76,"101 Casa Mirella Way, Windermere, FL 34786",2462
77,"101 Champions Vue Loop, Davenport, FL 33897",1803
78,"101 Crossings Dr, Panama City Beach, FL 32413",1782
79,"101 Crossings Dr, Panama City, FL 32413",1877
80,"101 Diplomat Pkwy, Hallandale Beach, FL 33009",5017
81,"101 E Camino Real, Boca Raton, FL 33432",3586
82,"101 E New Hampshire Ave, Deland, FL 32724",1136
83,"101 E Romana St, Pensacola, FL 32502",1618
84,"101 Integra Village Trail, Sanford, FL 32771",1785
85,"101 Lake Ave, Orlando, FL 32801",2227
86,"101 Mosswood Cir, Winter Springs, FL 32708",1311
87,"101 Porpoise Bay Rd, Daytona Beach, FL 32119",1291
88,"101 Raceway Pointe Dr, Daytona Beach, FL 32114",1409
89,"101 S Federal Hwy, Boynton Beach, FL 33435",2177
90,"101 S Old Coachman Rd, Clearwater, FL 33765",2228
91,"101 SE Coast St, Lake Worth Beach, FL 33460",1877
92,"101 SW 12th St, Boca Raton, FL 33432",1903
93,"101 W Beach Pl, Tampa, FL 33606",3023
94,"1010 N Swallow Tail Dr, Port Orange, FL 32129",1570
95,"1010 NW Fresco Way, Jensen Beach, FL 34957",2250
96,"1010 Versant Dr, Brandon, FL 33511",1769
97,"10100 Baymeadows Rd, Jacksonville, FL 32256",1510
98,"10101 Arrowhead Dr, Jacksonville, FL 32257",1574
99,"10101 Lymestone Ct, New Smyrna Beach, FL 32168",1594
100,"10101 SW 14th St, Pembroke Pines, FL 33025",2947
101,"10103 Sherwood Ln, Riverview, FL 33578",1564
102,"10107 Ancora Cir, Orlando, FL 32821",2249
103,"1011 E Cumberland Ave, Tampa, FL 33602",2962
104,"10131 Soltura Dr, Fort Myers, FL 33905",2408
105,"10135 Gate Pkwy N, Jacksonville, FL 32246",2034
106,"1015 Ohana Way, North Port, FL 34288",1733
107,"1015 Spanish River Rd, Boca Raton, FL 33432",2936
108,"10151 Iris Crosstown Dr, Tampa, FL 33619",1956
109,"10170 SW 7th St, Pembroke Pines, FL 33025",2987
110,"1018 Malabar Lakes Dr NE, Palm Bay, FL 32905",1535
111,"102 Ascend Cir, West Melbourne, FL 32904",1885
112,"102 Cabana Cay Cir, Panama City Beach, FL 32413",1418
113,"102 E 122nd Ave, Tampa, FL 33612",1146
114,"102 Landings Way, Winter Haven, FL 33880",870
115,"102 Manatee Ave W, Bradenton, FL 34205",2123
116,"1020 Capri Isles Blvd, Venice, FL 34292",1490
117,"1020 Chatham Pines, Winter Springs, FL 32708",1715
118,"1020 NE 12th Ave, Fort Lauderdale, FL 33304",2654
119,"10200 Falcon Pine Blvd, Orlando, FL 32829",2100
120,"10200 Gandy Blvd N, St Petersburg, FL 33702",1301
121,"10200 N Armenia Ave, Tampa, FL 33612",1548
122,"10200 Sweetgrass Cir, Naples, FL 34104",2921
123,"10201 Lee Vista Blvd, Orlando, FL 32829",1971
124,"10203 Falcon Parc Blvd, Orlando, FL 32832",2186
125,"10206 Stonehenge Cir, Boynton Beach, FL 33437",2341
126,"10207 Dwell Ct, Orlando, FL 32832",2129
127,"10208 Hawthorne Pl Dr, Riverview, FL 33578",1765
128,"10210 Falcon Gate Lp, Riverview, FL 33569",1812
129,"10220 Summer Palm Dr, Riverview, FL 33578",1780
130,"10235 Boca Entrada Blvd, Boca Raton, FL 33428",2411
131,"1024 Vizcaya Lake Rd, Ocoee, FL 34761",1501
132,"10246 Douglas Oaks Cir, Tampa, FL 33610",1735
133,"1025 Assisi Ln, Jacksonville, FL 32233",1450
134,"1025 Eagle Lake Trail, Port Orange, FL 32129",1202
135,"1025 S Beach St, Daytona Beach, FL 32114",1322
136,"10255 SW 24th St, Miami, FL 33165",1565
137,"10263 Whispering Forest Dr, Jacksonville, FL 32257",1558
138,"10275 Old St Augustine Rd, Jacksonville, FL 32257",1651
139,"10297 SW Village Pkwy, Port St. Lucie, FL 34987",2025
140,"1030 Douglas Ave, Altamonte Springs, FL 32714",1634
141,"1030 Seminole Dr, Fort Lauderdale, FL 33304",3829
142,"10301 Marsh Harbor Way, Riverview, FL 33578",1587
143,"1032 Hidden Harbour Dr, Melbourne, FL 32935",1477
144,"10387 Vista Oaks Ct, Orlando, FL 32836",2182
145,"1040 Jamison Loop, Kissimmee, FL 34744",2006
146,"10400 Panama City Beach Pkwy, Panama City Beach, FL 32407",2101
147,"10405 Addison Way, Seminole, FL 33772",2218
148,"10415 SW 220th St, Miami, FL 33190",1342
149,"10420 McKinley Dr, Tampa, FL 33612",2217
150,"10440 Sanderling Shores Dr, Tampa, FL 33619",1962
151,"10445 Corkscrew Commons Dr, Estero, FL 33928",2141
152,"10450 SW City Center Blvd, Pembroke Pines, FL 33025",2746
153,"10475 Gandy Blvd N, St. Petersburg, FL 33702",2102
154,"1049 Brentwood Dr, Daytona Beach, FL 32117",1028
155,"10492 Boynton Pl, Boynton Beach, FL 33437",2254
156,"10495 SW 14th Terrace, Miami, FL 33174",2288
157,"105 Manor Blvd, Naples, FL 34104",2620
158,"105 Moultrie Crossing Ln, St Augustine, FL 32086",2250
159,"105 Serenity Loop, Lake Wales, FL 33859",1825
160,"105 Sunnyside Rd, Temple Terrace, FL 33617",1558
161,"1050 Blanche St, West Palm Beach, FL 33401",2434
162,"1050 Capri Isles Blvd, Venice, FL 34292",1668
163,"1050 Colonial Grand Ln, Lake Mary, FL 32746",1839
164,"1050 Water St, Tampa, FL 33602",3253
165,"10500 NW 74th St, Doral, FL 33178",2884
166,"10501 3rd St N, St Petersburg, FL 33716",1887
167,"10509 SW 216th St, Cutler Bay, FL 33190",1534
168,"10510 Parker's Landing Dr, Tampa, FL 33615",1845
169,"10535 Lem Turner Rd, Jacksonville, FL 32218",1302
170,"10540 NW 78th St, Doral, FL 33178",3125
171,"10555 Noah's Cir, Naples, FL 34116",1308
172,"10571 SW 156th Pl, Miami, FL 33196",2199
173,"10598 Cordgrass Ln, Jacksonville, FL 32258",1828
174,"106 Hampton Rd, Clearwater, FL 33759",1987
175,"106 S Federal Hwy, Fort Lauderdale, FL 33301",2893
176,"1060 Coral Ridge Dr, Coral Springs, FL 33071",2433
177,"10600 4th St N, St. Petersburg, FL 33716",1771
178,"10600 Bloomfield Dr, Orlando, FL 32825",1689
179,"106003 Overseas Hwy, Key Largo, FL 33037",2595
180,"10601 Gandy Blvd N, St Petersburg, FL 33702",2072
181,"10605 Hammocks Blvd, Miami, FL 33196",2495
182,"10610 N 30th St, Tampa, FL 33612",1407
183,"1062 NW 87th Ave, Miami, FL 33178",2730
184,"10640 Satori Lane, Jacksonville, FL 32256",2056
185,"10649 Bastille LN, Orlando, FL 32836",1749
186,"10650 Washington St, Pembroke Pines, FL 33025",2169
187,"10655 Founders Way, Bonita Springs, FL 34135",2311
188,"10667 Brightman Blvd, Jacksonville, FL 32246",1937
189,"10700 Hobbit Cir, Orlando, FL 32836",1165
190,"10700 SW City Center Blvd, Pembroke Pines, FL 33025",2471
191,"10700 W Sample Rd, Coral Springs, FL 33065",2281
192,"1071 Candlelight Blvd, Brooksville, FL 34601",1528
193,"10712 Mystic Cir, Orlando, FL 32836",2145
194,"10720 N Preserve Way, Miramar, FL 33025",2394
195,"10770 Clear Lake Loop, Fort Myers, FL 33908",2009
196,"10771 N Kendall Dr, Miami, FL 33176",1885
197,"108 Valrico Station Rd, Valrico, FL 33594",1955
198,"10800 Brighton Bay Blvd NE, St Petersburg, FL 33716",2133
199,"10800 Torino Dr, Trinity, FL 34655",1925
200,"10801 Heather Ridge Cir, Orlando, FL 32817",1658
201,"10805 N Kendall Dr, Miami, FL 33176",1725
202,"1081 Benoist Farms Rd, West Palm Beach, FL 33411",1289
203,"1081 Solamere Dr, Titusville, FL 32780",1774
204,"1085 Atlantic Blvd, Atlantic Beach, FL 32233",1592
205,"1088 W Granada Blvd, Ormond Beach, FL 32174",1245
206,"10880 Angelfish Way, Jacksonville, FL 32256",1634
207,"10889 Avenues Walk Blvd, Jacksonville, FL 32258",2402
208,"10890 W Sample Rd, Coral Springs, FL 33065",2703
209,"109 W Fortune St, Tampa, FL 33602",2397
210,"1090 Loring Dr, Merritt Island, FL 32953",1558
211,"1090 Quaye Lake Cir, Wellington, FL 33411",2847
212,"10900 Legacy Gateway Cir, Fort Myers, FL 33913",2429
213,"10900 NW 17th St, Plantation, FL 33322",2360
214,"10901 Brighton Bay Blvd NE, St. Petersburg, FL 33716",1975
215,"10901 Burnt Mill Rd, Jacksonville, FL 32256",2053
216,"10901 NW 40th St, Sunrise, FL 33351",2032
217,"10905 Bourbon Ct, Tampa, FL 33612",1584
218,"10931 NW 39th St, Sunrise, FL 33351",1906
219,"1095 Hancock Creek S Blvd, Cape Coral, FL 33909",2067
220,"10955 Moss Park Rd, Orlando, FL 32832",2139
221,"10972 NW 14th Ave, Miami, FL 33167",1701
222,"10980 Oak St NE, St. Petersburg, FL 33716",2149
223,"10991 Lost Lake Dr, Naples, FL 34105",2774
224,"11 E Forsyth St, Jacksonville, FL 32202",1295
225,"11 NW 45th Ave, Deerfield Beach, FL 33442",2266
226,"110 Creekside Ct, Pensacola, FL 32514",1422
227,"110 S Hoover Blvd, Tampa, FL 33609",2166
228,"110 SW 12th St, Miami, FL 33130",3146
229,"110 Sagecrest Cir, West Melbourne, FL 32904",1880
230,"110 Stratford Mill Blvd, St. Augustine, FL 32084",1427
231,"110 Summerfield Way, Brandon, FL 33510",1768
232,"1100 Audace Ave, Boynton Beach, FL 33426",2522
233,"1100 Cleveland St, Clearwater, FL 33755",2162
234,"1100 Courtney Chase Cir, Orlando, FL 32837",1891
235,"1100 Halifax Medical Center Dr, Daytona Beach, FL 32114",828
236,"1100 Oakbridge Pkwy, Lakeland, FL 33803",1714
237,"1100 Pippin Dr, Mary Esther, FL 32569",1890
238,"1100 S Military Trail, Deerfield Beach, FL 33442",2059
239,"1100 S Missouri Ave, Clearwater, FL 33756",1994
240,"1100 Seagate Ave, Neptune Beach, FL 32266",1685
241,"11000 Cameron Ct, Davie, FL 33324",2281
242,"11000 Miramar Blvd, Miramar, FL 33025",2459
243,"11001 Bristol Bay Dr, Bradenton, FL 34209",1885
244,"11001 Old St Augustine Rd, Jacksonville, FL 32257",1379
245,"1101 Cambridge Square, Winter Haven, FL 33880",1192
246,"1101 Cobblestone Cir, Kissimmee, FL 34744",1019
247,"1101 NW 39th Ave, Gainesville, FL 32609",1248
248,"11011 Harts Rd, Jacksonville, FL 32218",1236
249,"11020 Town Cir, Royal Palm Beach, FL 33414",2526
250,"11033 SW 88th Street, Miami, FL 33176",1739
251,"1104 Bartow Rd, Lakeland, FL 33801",930
252,"1105 Clara Ave, Panama City, FL 32407",1768
253,"1105 Fort Clarke Blvd, Gainesville, FL 32606",1738
254,"1105 N Hoagland Blvd, Kissimmee, FL 34741",922
255,"1105 Park Ln, Davenport, FL 33896",1827
256,"11050 Harts Rd, Jacksonville, FL 32218",1151
257,"11086 Windsong Cir, Naples, FL 34109",1245
258,"11099 SW 5th St, Pembroke Pines, FL 33025",2275
259,"111 73rd Ave N, St Petersburg, FL 33702",1663
260,"111 E Washington St, Orlando, FL 32801",2260
261,"111 NW 97th Ave, Miami, FL 33172",1552
262,"111 Sierra Dr, Jupiter, FL 33458",2529
263,"111 Vintage Way, Fernandina Beach, FL 32034",2081
264,"11100 Heron Bay Blvd, Coral Springs, FL 33076",3387
265,"11100 Point Sylvan Cir, Orlando, FL 32825",1755
266,"11105 SW 200th St, Miami, FL 33157",1307
267,"1111 Brickell Bay Dr, Miami, FL 33131",3865
268,"1111 High Rd, Tallahassee, FL 32304",1378
269,"11110 Atlantic Blvd, Jacksonville, FL 32225",1392
270,"11110 N 56th St, Temple Terrace, FL 33617",1630
271,"1112 Integra Landings Dr, Orange City, FL 32763",1726
272,"1112 S Magnolia Dr, Tallahassee, FL 32301",1496
273,"11120 Bennett Drive, Bradenton, FL 34211",2414
274,"11128 Grande Pines Cir, Orlando, FL 32821",1862
275,"11140 Lost Creek Terrace, Bradenton, FL 34211",2017
276,"1115 E Twiggs St, Tampa, FL 33602",2682
277,"1115 Pacifica Dr, Kissimmee, FL 34744",1988
278,"1115 W Hibiscus Blvd, West Melbourne, FL 32901",1874
279,"11181 W 35th Way, Hialeah, FL 33018",2784
280,"112 Essex Ave, Altamonte Springs, FL 32701",1509
281,"112 N 12th St, Tampa, FL 33602",2509
282,"112 W Adams St, Jacksonville, FL 32202",1410
283,"1120 E Twiggs St, Tampa, FL 33602",2420
284,"11200 Biscayne Blvd, Miami, FL 33181",2896
285,"11200 Isle of Waterbridge, Orlando, FL 32837",1801
286,"11200 SW Village Ct, Port St. Lucie, FL 34987",2120
287,"11209 Ranch Creek Terrace, Bradenton, FL 34211",2245
288,"1121 Druid Rd, Clearwater, FL 33756",1632
289,"1121 Loblolly Ln, Davenport, FL 33896",1912
290,"11211 S Military Trail, Boynton Beach, FL 33436",2180
291,"1122 Greenstone Blvd, Heathrow, FL 32746",1925
292,"11221 Everblades Parkway, Estero, FL 33928",1461
293,"11225 Estia Dr, Bradenton, FL 34211",2292
294,"1124 Crosstown Way, Orlando, FL 32807",1986
295,"1124 Shoreview Cir, Casselberry, FL 32707",2107
296,"11247 San Jose Blvd, Jacksonville, FL 32223",1604
297,"1128 Ocala Rd, Tallahassee, FL 32304",980
298,"11291 Harts Rd, Jacksonville, FL 32218",1206
299,"113 NW 3rd Ave, Gainesville, FL 32601",1610
300,"1130 Turtle Creek Blvd, Naples, FL 34110",2356
301,"11300 66th St N, Largo, FL 33773",1812
302,"11301 N 53rd St, Temple Terrace, FL 33617",1688
303,"11302 W Hillsborough Ave, Tampa, FL 33635",2071
304,"11306 Mallory Square Dr, Tampa, FL 33635",1916
305,"1131 Courtney Trace Dr, Brandon, FL 33511",1729
306,"11311 N 22nd St, Tampa, FL 33612",1341
307,"11325 N 50th St, Tampa, FL 33617",1353
308,"11325 NW 7th St, Miami, FL 33172",2853
309,"11338 SW 45th Pl, Miramar, FL 33025",2755
310,"11349 SW Discovery Wy, Port St. Lucie, FL 34987",2234
311,"1135 N Wickham Rd, Melbourne, FL 32935",797
312,"11353 Citra Cr, Windermere, FL 34786",1979
313,"11390 Square St, Jacksonville, FL 32256",1826
314,"1140 Kendall Town Blvd, Jacksonville, FL 32225",1588
315,"1140 SE 24th Rd, Homestead, FL 33035",2161
316,"11400 4th St N, St Petersburg, FL 33716",1548
317,"11400 Whistlers Cove Blvd, Naples, FL 34113",1362
318,"11401 Dr M.L.K. Jr St N, St Petersburg, FL 33716",1459
319,"1141 Kendall Town Blvd, Jacksonville, FL 32225",1658
320,"11425 McCormick Rd, Jacksonville, FL 32225",1124
321,"11444 137th St, Largo, FL 33774",1431
322,"11481 NW 41st St, Doral, FL 33178",2943
323,"11496 Sumter Grove Cir, Naples, FL 34113",2467
324,"115 112th Ave NE, St Petersburg, FL 33716",1334
325,"115 Integra Reserve Ln, DeBary, FL 32713",1825
326,"115 NE 3rd Ave, Fort Lauderdale, FL 33301",2892
327,"11500 Myrtlewood Dr, Sanford, FL 32771",1691
328,"11500 N Dale Mabry Hwy, Tampa, FL 33618",1515
329,"11500 NW 56th Dr, Coral Springs, FL 33076",2713
330,"11500 Summit W Blvd, Tampa, FL 33617",1689
331,"11502 Echo Lake Cir, Bradenton, FL 34211",2075
332,"1155 SE 7th Ave, Dania Beach, FL 33004",2418
333,"11555 Beach Blvd, Jacksonville, FL 32246",1657
334,"11571 Fountainhead Dr, Tampa, FL 33626",2189
335,"11575 City Hall Promenade, Miramar, FL 33025",2300
336,"11598 Lachlan Ln, Windermere, FL 34786",2134
337,"1160 NW N River Dr, Miami, FL 33136",1461
338,"11600 MacKay Blvd, Orlando, FL 32826",1546
339,"11601 4th St N, St. Petersburg, FL 33716",1622
340,"1161 3rd Ave E, Bradenton, FL 34208",2243
341,"11645 Monument Dr, Bradenton, FL 34211",2387
342,"1166 Pointe Newport Terrace, Casselberry, FL 32707",1526
343,"117 SE 16th Ave, Gainesville, FL 32601",1050
344,"1170 NW 11th St, Miami, FL 33136",2709
345,"11700 SW 26 St, Miramar, FL 33025",2817
346,"11701 Heritage Estates Ave, Orlando, FL 32825",2030
347,"11701 Palm Lake Dr, Jacksonville, FL 32218",1447
348,"11701 Royal Palm Blvd, Coral Springs, FL 33065",2552
349,"1171 Lakepointe Landing, Plantation, FL 33322",2231
350,"1171 Lane Ave S, Jacksonville, FL 32205",1282
351,"11716 18th Pl E, Lakewood Ranch, FL 34211",2237
352,"11723 Wells Creek Pkwy, Jacksonville, FL 32256",1909
353,"1175 Pinellas Point Dr S, St Petersburg, FL 33705",1486
354,"1175 W Minnesota Ave, Deland, FL 32720",1400
355,"11750 SW Village Pkwy, Port St. Lucie, FL 34987",1944
356,"11800 Dr M.L.K. Jr St N, St Petersburg, FL 33716",2015
357,"11801 Pembroke Rd, Pembroke Pines, FL 33025",2274
358,"1182 Redman St, Orlando, FL 32839",1515
359,"11833 Westwood Blvd, Orlando, FL 32821",2367
360,"11843 Faithful Way, New Port Richey, FL 34654",1481
361,"1185 S Pinellas Ave, Tarpon Springs, FL 34689",1950
362,"11850 Dr M.L.K. Jr St N, St. Petersburg, FL 33716",1870
363,"11850 Martin Luther King Street N, St Petersburg, FL 33716",1928
364,"11856 Reedy Creek Dr, Orlando, FL 32836",1039
365,"1187 S Park Ave, Titusville, FL 32780",903
366,"1190 E Washington St, Tampa, FL 33602",2569
367,"11900 Marquina Blvd, Fort Myers, FL 33913",2399
368,"11900 NE 16th Ave, Miami, FL 33161",1203
369,"11900 Valencia Gardens Ave, Palm Beach Gardens, FL 33410",2594
370,"11901 Abess Blvd, Jacksonville, FL 32225",1788
371,"1191 Carlton Arms Cir, Bradenton, FL 34208",1614
372,"11931 Cassandra St, New Port Richey, FL 34654",1645
373,"1196 NW 40th Ave, Lauderhill, FL 33313",1765
374,"11990 Beach Blvd, Jacksonville, FL 32246",1395
375,"12 NE 188th St, Miami, FL 33179",1655
376,"120 Bedzel Cir, Naples, FL 34104",2753
377,"120 NE 4th St, Fort Lauderdale, FL 33301",2948
378,"120 NW 108th Terrace, Pembroke Pines, FL 33026",2575
379,"1200 Beville Rd, Daytona Beach, FL 32114",1062
380,"1200 Floral Springs Blvd, Port Orange, FL 32129",1574
381,"1200 Hampton Blvd, North Lauderdale, FL 33068",2376
382,"1200 Scenic Hwy, Pensacola, FL 32503",1464
383,"1200 Seminole Blvd, Largo, FL 33770",1050
384,"1200 Signal Pointe Cir, Sarasota, FL 34237",1268
385,"1200 Treasure Cay Dr, Fort Pierce, FL 34947",1609
386,"1200 Waterway Village Ct, Greenacres, FL 33413",1804
387,"12000 4th St N, St Petersburg, FL 33716",1835
388,"12000 W Sample Rd, Coral Springs, FL 33065",2330
389,"12001 Abess Blvd, Jacksonville, FL 32225",1831
390,"12001 Avalon Lake Dr, Orlando, FL 32828",1745
391,"12001 S Belcher Rd, Largo, FL 33773",1682
392,"1201 Fairlake Blvd, Weston, FL 33326",2550
393,"1201 SE Palm Beach Rd, Stuart, FL 34994",1266
394,"1201 Seminole Blvd, Largo, FL 33770",1743
395,"1201 W Pointe Villas Blvd, Winter Garden, FL 34787",1098
396,"12011 Citrus Falls Cir, Tampa, FL 33625",1944
397,"12016 NE 16th Ave, Miami, FL 33161",2481
398,"12021 McCormick Rd, Jacksonville, FL 32225",1585
399,"12024 Meadow Bend Loop, Orlando, FL 32821",2074
400,"12035 Pioneers Way, Orlando, FL 32832",2251
401,"1205 Jaslo St SE, Palm Bay, FL 32909",1815
402,"1205 Venice Blvd, Davenport, FL 33897",2240
403,"12065 Tuscany Bay Dr, Tampa, FL 33626",2103
404,"1209 Bermuda Lakes Ln, Kissimmee, FL 34741",1759
405,"121 N Compass Way, Dania Beach, FL 33004",2606
406,"121 Pine Lakes Pkwy N, Palm Coast, FL 32137",1956
407,"1210 4th Terrace, Vero Beach, FL 32960",959
408,"1210 SW 11th Ave, Gainesville, FL 32601",1924
409,"1210 Westbury Pointe Dr, Brandon, FL 33511",1824
410,"12100 Park Blvd N, Seminole, FL 33772",1416
411,"12101 Fountainbrook Blvd, Orlando, FL 32825",1923
412,"12101 N Dale Mabry Hwy, Tampa, FL 33618",1278
413,"1211 E Kennedy Blvd, Tampa, FL 33602",2638
414,"1211 Goldfinch Dr, Plant City, FL 33563",1431
415,"12112 Sugarloaf Key St, Tampa, FL 33626",2199
416,"1212 Askew Dr, Brandon, FL 33511",1537
417,"12121 SW 43rd St, Miramar, FL 33025",2612
418,"12137 Ashton Manor Way, Orlando, FL 32828",1904
419,"1215 SE Glenwood Dr, Stuart, FL 34994",1648
420,"12155 US -1, North Palm Beach, FL 33408",3101
421,"1216 SW 2nd Ave, Gainesville, FL 32601",1072
422,"12171 Beach Blvd, Jacksonville, FL 32246",1602
423,"12193 Kernan Lake Dr, Jacksonville, FL 32246",1787
424,"122 Sevilla Ave, Coral Gables, FL 33134",4452
425,"1220 NE 24th St, Wilton Manors, FL 33305",2799
426,"12201 Lexington Park Dr, Tampa, FL 33626",2228
427,"12221 E Colonial Dr, Orlando, FL 32826",1860
428,"12221 Holbrook Dr, Hudson, FL 34667",1291
429,"1226 E Cumberland Ave, Tampa, FL 33602",2586
430,"1228 SE Astorwood Pl, Stuart, FL 34994",1889
431,"123 W Hirth Rd, Fernandina Beach, FL 32034",1326
432,"12310 Seacrest Lane, Jacksonville, FL 32224",1596
433,"12325 SW 151st St, Miami, FL 33186",2407
434,"12337 Wynnfield Lakes Dr, Jacksonville, FL 32246",1757
435,"12349 W Linebaugh Ave, Tampa, FL 33626",1931
436,"1236 Arbour Pt Wy, Ocoee, FL 34761",1881
437,"12375 SW 18th St, Miami, FL 33175",1905
438,"12397 San Jose Blvd, Jacksonville, FL 32223",1747
439,"124 S Morgan St, Tampa, FL 33602",2547
440,"124 SW 62nd St, Gainesville, FL 32607",1319
441,"1240 Astor Commons Pl, Brandon, FL 33511",1858
442,"1240 Winter Garden Vineland Rd, Winter Garden, FL 34787",1773
443,"12401 N 15th St, Tampa, FL 33612",1028
444,"12401 W Hillsborough Ave, Tampa, FL 33635",1832
445,"12411 Groveview Way, Sanford, FL 32773",1578
446,"1244 S Pine Island Rd, Plantation, FL 33324",2405
447,"1245 Palm Bay Rd NE, Melbourne, FL 32905",1399
448,"125 Daydream Ave, Yulee, FL 32097",1714
449,"125 E Pine St, Orlando, FL 32801",2435
450,"125 Grand Cypress Dr, St Johns, FL 32259",1780
451,"125 Great Harbor Way, Ponte Vedra Beach, FL 32082",1774
452,"125 N 19th Ave, Hollywood, FL 33020",1691
453,"125 NE 32nd St, Miami, FL 33137",3612
454,"125 Via D Este, Delray Beach, FL 33445",3231
455,"125 W 1st Ave, Crestview, FL 32536",848
456,"1250 E 113th Ave, Tampa, FL 33612",1108
457,"1250 NE Reserve Trl, Jensen Beach, FL 34957",2317
458,"1250 Woodcrest Dr, Daytona Beach, FL 32114",1276
459,"12500 Solstice Loop, Sanford, FL 32771",1736
460,"12501 Honore Ave, Sarasota, FL 34238",2563
461,"1251 Beacon Point Dr, Jacksonville, FL 32246",1331
462,"1251 Ray Charles Blvd, Tampa, FL 33602",2358
